 10:08:54.293  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... createOrUpdateObjectSpis end [20 createOrUpdateObjectSpis klient].
 10:08:54.293  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboSpisUtils - ID_EXT: 1452244134104, User: cen84027 ... areMandatoryAttributesForProductOrBusinessCaseFilled start.
 10:08:54.293  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboSpisUtils - ID_EXT: 1452244134104, User: cen84027 ... areMandatoryAttributesForProductOrBusinessCaseFilled end [100f].
 10:08:54.294  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboSpis - ID_EXT: 1452244134104, User: cen84027 ... findProduct start.
 10:08:54.295  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboSpisUtils - ID_EXT: 1452244134104, User: cen84027 ... validateFindProductInput start.
 10:08:54.296  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboSpisUtils - ID_EXT: 1452244134104, User: cen84027 ... validateFindProductId start.
 10:08:54.299  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboSpisUtils - ID_EXT: 1452244134104, User: cen84027 ... validateFindProductId end [100].
 10:08:54.301  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboSpisUtils - ID_EXT: 1452244134104, User: cen84027 ... validateFindProductInput end [100].
 10:08:54.302  INFO | cz.ness.documentum.cskld.sbo.impl.CsPersOrgService - ID_EXT: 1452244134104, User: cen84027 ... searchProduct start.
 10:08:54.336  WARN | cz.ness.documentum.cskld.sbo.helper.HeaderHandler - MSG:<S:Envelope xmlns:S="http://schemas.xmlsoap.org/soap/envelope/" xmlns:SOAP-ENV="http://schemas.xmlsoap.org/soap/envelope/"><SOAP-ENV:Header><mw:MWHeader xmlns:mw="http://schemas.csas.cz/mw/"><mw:msguid>870600115976</mw:msguid><mw:trnsrc>87</mw:trnsrc><mw:trnsrcname>espis</mw:trnsrcname><mw:trnuser>cen84027</mw:trnuser></mw:MWHeader></SOAP-ENV:Header><S:Body><ns0:getProductInstancePositionRequest xmlns:ns0="http://csas.cz/services/CgpService/v02_04" xmlns:ns12="http://csas.cz/BOM/v02/service/Technical" xmlns:ns13="http://csas.cz/CDM/v02/Products" xmlns:ns14="http://csas.cz/CDM/v02/Steering/Party" xmlns:ns3="http://csas.cz/CDM/v02/CrossDomain/ITSupport" xmlns:ns4="http://csas.cz/CDM/v02/Products/Deposits" xmlns:ns7="http://csas.cz/CDM/v02/Products/Loans" xmlns:ns9="http://csas.cz/CDM/v02/Products/Cards"><ns0:includeClosedInstances>true</ns0:includeClosedInstances><ns0:includeDeletedRelations>true</ns0:includeDeletedRelations><ns0:includeNotAliveInstances>true</ns0:includeNotAliveInstances><ns0:slaveProductInstances>false</ns0:slaveProductInstances><ns0:productInstance><ns0:cgpProductInstanceId>SU0.1775172013</ns0:cgpProductInstanceId></ns0:productInstance><ns0:productRelationship><ns13:relationshipType>espis</ns13:relationshipType></ns0:productRelationship><ns0:roleTypes><ns0:roleType><ns13:partyProdInstanceRoleType>42</ns13:partyProdInstanceRoleType></ns0:roleType></ns0:roleTypes></ns0:getProductInstancePositionRequest></S:Body></S:Envelope>.
 10:08:54.431  WARN | cz.ness.documentum.cskld.sbo.impl.CsPersOrgService - Search product instance dump:SearchProduct [cluid=1998-10-27-03.39.17.486187, productRelationType=42, bProductID=SU0_200, fProductID=CPT_81, contractNumber=000000-1775172013/0800, productStatus=false, csInternalId=SU0.1775172013, organizationName=, registrationNumber=, instanceFirstName=Miroslava, instanceLastName=Zim�?áková, instanceBirthNumber=8251073589, instanceDegree=, instanceAdditionalDegree=, sourceSystem=SPZ].
 10:08:54.431  WARN | cz.ness.documentum.cskld.sbo.impl.CsPersOrgService - RTODS default choose:SearchProduct [cluid=1998-10-27-03.39.17.486187, productRelationType=42, bProductID=SU0_200, fProductID=CPT_81, contractNumber=000000-1775172013/0800, productStatus=false, csInternalId=SU0.1775172013, organizationName=, registrationNumber=, instanceFirstName=Miroslava, instanceLastName=Zim�?áková, instanceBirthNumber=8251073589, instanceDegree=, instanceAdditionalDegree=, sourceSystem=SPZ].
 10:08:54.431  INFO | cz.ness.documentum.cskld.sbo.impl.CsPersOrgService - ID_EXT: 1452244134104, User: cen84027 ... searchProduct end [100].
 10:08:54.431  WARN | cz.ness.documentum.cskld.sbo.impl.CsSboSpis - searchProductInput = SearchProductInput [cluid=null, ProductInstDescr=null, TechnicalAgreementId=SU0.1775172013, pageNumber=0, pageSize=0, productSourceSystem=ESPIS]
 10:08:54.431  WARN | cz.ness.documentum.cskld.sbo.impl.CsSboSpis - searchProductOutput = SearchProductOutput [searchProducts=[SearchProduct [cluid=1998-10-27-03.39.17.486187, productRelationType=42, bProductID=SU0_200, fProductID=CPT_81, contractNumber=000000-1775172013/0800, productStatus=false, csInternalId=SU0.1775172013, organizationName=, registrationNumber=, instanceFirstName=Miroslava, instanceLastName=Zim�?áková, instanceBirthNumber=8251073589, instanceDegree=, instanceAdditionalDegree=, sourceSystem=SPZ]]]
 10:08:54.432  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboSpisUtils - ID_EXT: 1452244134104, User: cen84027 ... makeProduct start.
 10:08:54.432  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboSpisUtils - ID_EXT: 1452244134104, User: cen84027 ... getProductObjId start.
 10:08:54.434  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboSpisUtils - ID_EXT: 1452244134104, User: cen84027 ... getProductObjId end [100].
 10:08:54.434  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboSpisUtils - ID_EXT: 1452244134104, User: cen84027 ... getExistingProduct start.
 10:08:54.438  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboSpisUtils - ID_EXT: 1452244134104, User: cen84027 ... getExistingProduct end [10].
 10:08:54.440  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboLock - ID_EXT: 1452244134104, User: cen84027 ... lockObject start.
 10:08:54.441  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboLock - lockObject: input: ObjectLockerInput [boAbsObjectId=08029396807f744f, joinName=, waitIntervalSec=0, boAbsObjectIds=[]]
 10:08:54.442  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboLock - ID_EXT: 1452244134104, User: cen84027 ... lockObject end [100].
 10:08:54.443  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboSpisUtils - ID_EXT: 1452244134104, User: cen84027 ... makeProduct end [100].
 10:08:54.443  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboSpis - ID_EXT: 1452244134104, User: cen84027 ... findProduct end [100].
 10:08:54.443  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... createOrUpdateObjectSpis end [41 createOrUpdateObjectSpis findProduct].
 10:08:54.443  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... createOrUpdateObjectSpis end [50 createOrUpdateObjectSpis produkt].
 10:08:54.444  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... createOrUpdateObjectSpis end [60 createOrUpdateObjectSpis ostatni].
 10:08:54.444  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... createOrUpdateObjectSpis end [70 createOrUpdateObjectSpis end].
 10:08:54.444  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... createOrUpdateObjectSpis end [100].
 10:08:54.444  INFO | cz.ness.documentum.cskld.helper.DynamicGroupHelper - Removing dynamic group cs_superusers_dynamic from session for User: cen84027.
 10:08:54.445  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboRecord - ID_EXT: 1452244134104, User: cen84027 ... saveRecord end [30 CRU spis].
 10:08:54.446  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... createOrUpdateObjectRecord start.
 10:08:54.446  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... createOrUpdateObjectRecord end [10 createOrUpdateObjectRecord start].
 10:08:54.446  INFO | cz.ness.documentum.cskld.helper.DynamicGroupHelper - Adding dynamic group cs_superusers_dynamic into session for User: cen84027.
 10:08:54.448  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... createOrUpdateObjectRecord end [20 createOrUpdateObjectRecord getIdFromSequence].
 10:08:54.450  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... createCsRecordObject start.
 10:08:54.450  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... lockRecord start.
 10:08:54.464  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - Locked record timestamp: 2016-01-08 10:08:54.458319
 10:08:54.464  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... lockRecord end [100].
 10:08:54.466  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... isEjectRecordType start.
 10:08:54.469  WARN | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - Eject flag for recordTypeId 3633 doesnt exists
 10:08:54.469  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... isEjectRecordType end [100].
 10:08:54.469  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... createCsRecordObject end [10 createCsRecordObject setattrs].
 10:08:54.470  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... resolveAndSetStates start.
 10:08:54.470  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... isWorkUnitInternalStorage start.
 10:08:54.471  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... isWorkUnitInternalStorage end [100].
 10:08:54.472  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... resolveAndSetStates end [100].
 10:08:54.472  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... getWorkUnitRObjectId start.
 10:08:54.474  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - r_object_id is 0802939680049bda
 10:08:54.474  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... getWorkUnitRObjectId end [100].
 10:08:54.475  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... createCsRecordObject end [20 createCsRecordObject setattrs].
 10:08:54.523  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... createCsRecordObject end [30 createCsRecordObject save].
 10:08:54.525  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboStatush - ID_EXT: 1452244134104, User: cen84027 ... createRtStatusH start.
 10:08:54.532  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboStatush - ID_EXT: 1452244134104, User: cen84027 ... createRtStatusH end [100].
 10:08:54.532  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboStatush - ID_EXT: 1452244134104, User: cen84027 ... createRtStatusH start.
 10:08:54.535  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboStatush - ID_EXT: 1452244134104, User: cen84027 ... createRtStatusH end [100].
 10:08:54.535  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... createCsRecordObject end [40 createCsRecordObject createhistory].
 10:08:54.535  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... removeRecordLock start.
 10:08:54.549  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... removeRecordLock end [100].
 10:08:54.549  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... createCsRecordObject end [100].
 10:08:54.549  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... createOrUpdateObjectRecord end [21 createOrUpdateObjectRecord createCsRecordObject].
 10:08:54.557  INFO | cz.ness.documentum.cskld.impl.CsContext - New request context ID_EXT: 1452244134557, User: cen84027
 10:08:54.558  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboBoAbstract - ID_EXT: 1452244134557, User: cen84027 ... boAbstractModify start.
 10:08:54.618  INFO | cz.ness.documentum.cskld.impl.CsContext - New request context ID_EXT: 1452244134618, User: cen84027
 10:08:54.618  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboRelation - ID_EXT: 1452244134618, User: cen84027 ... relationSaveHistory start.
 10:08:54.619  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboUtils - ID_EXT: 1452244134618, User: cen84027 ... createOkErrorOutput start.
 10:08:54.619  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboUtils - ID_EXT: 1452244134618, User: cen84027 ... createErroOutput start.
 10:08:54.620  INFO | cz.ness.documentum.cskld.codetables.data.CsCMessageCodeTable - ID_EXT: 1452244134618, User: cen84027 ... getErrorMessage start.
 10:08:54.620  INFO | cz.ness.documentum.cskld.codetables.data.CsCMessageCodeTable - getErrorMessage: ID_EXT: 1452244134618, User: cen84027, get errId EMC-0113
 10:08:54.620  INFO | cz.ness.documentum.cskld.codetables.data.CsCMessageCodeTable - ID_EXT: 1452244134618, User: cen84027 ... getErrorMessage end [100].
 10:08:54.620  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboUtils - ID_EXT: 1452244134618, User: cen84027 ... createErroOutput end [100].
 10:08:54.621  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboUtils - ID_EXT: 1452244134618, User: cen84027 ... createOkErrorOutput end [100].
 10:08:54.625  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboRelation - ID_EXT: 1452244134618, User: cen84027 ... relationSaveHistory end [100].
 10:08:54.643  INFO | cz.ness.documentum.cskld.impl.CsContext - New request context ID_EXT: 1452244134643, User: cen84027
 10:08:54.644  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboRelation - ID_EXT: 1452244134643, User: cen84027 ... relationSaveHistory start.
 10:08:54.644  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboUtils - ID_EXT: 1452244134643, User: cen84027 ... createOkErrorOutput start.
 10:08:54.645  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboUtils - ID_EXT: 1452244134643, User: cen84027 ... createErroOutput start.
 10:08:54.645  INFO | cz.ness.documentum.cskld.codetables.data.CsCMessageCodeTable - ID_EXT: 1452244134643, User: cen84027 ... getErrorMessage start.
 10:08:54.645  INFO | cz.ness.documentum.cskld.codetables.data.CsCMessageCodeTable - getErrorMessage: ID_EXT: 1452244134643, User: cen84027, get errId EMC-0113
 10:08:54.646  INFO | cz.ness.documentum.cskld.codetables.data.CsCMessageCodeTable - ID_EXT: 1452244134643, User: cen84027 ... getErrorMessage end [100].
 10:08:54.646  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboUtils - ID_EXT: 1452244134643, User: cen84027 ... createErroOutput end [100].
 10:08:54.646  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboUtils - ID_EXT: 1452244134643, User: cen84027 ... createOkErrorOutput end [100].
 10:08:54.648  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboRelation - ID_EXT: 1452244134643, User: cen84027 ... relationSaveHistory end [100].
 10:08:54.650  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboBoAbstract - ID_EXT: 1452244134557, User: cen84027 ... boAbstractModify end [100].
 10:08:54.656  INFO | cz.ness.documentum.cskld.helper.DynamicGroupHelper - Removing dynamic group cs_superusers_dynamic from session for User: cen84027.
 10:08:54.657  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboRecordUtils - ID_EXT: 1452244134104, User: cen84027 ... createOrUpdateObjectRecord end [100].
 10:08:54.657  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboRecord - ID_EXT: 1452244134104, User: cen84027 ... saveRecord end [40 CRU record].
